2019-06-10 10:51:13 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-06-10 10:51:13 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-06-10 10:53:41 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-06-10 10:53:42 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-06-10 10:58:04 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-06-10 10:58:04 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-06-10 11:05:11 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-06-10 11:05:12 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-06-12 08:50:22 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-06-12 08:50:23 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
